pmcid,candidate_origin,prior_disposition,discovery_scope_flag,title,pmid,doi,ncbi_status,ncbi_pubdate,ncbi_epubdate,pmc_aws_status,pmc_aws_article_version,pmc_aws_license,pmc_aws_open_access,pmc_aws_retracted,pmc_aws_xml_url,europe_pmc_status,europe_pmc_first_publication_date,europe_pmc_electronic_publication_date,europe_pmc_first_index_date,europe_pmc_open_access,crossref_status,crossref_published_online,crossref_published_print,crossref_issued,crossref_created,crossref_deposited,crossref_relation,openalex_status,openalex_id,openalex_publication_date,openalex_updated_date,medrxiv_status,biorxiv_status,preprint_first_date,preprint_matches,unpaywall_status,computed_earliest_public_date,computed_earliest_public_source,date_lineages,date_conflict,crosscheck_disposition,human_date_review_required
PMC13345235,extended_discovery,,exclude_title:cross_sectional,Heterogeneous associations of socioeconomic status with metabolic disease in racial and ethnic subgroups in the United States: A cross-sectional cohort study in NHANES and All Of Us.,,10.1371/journal.pone.0351075,complete,2026,2026 Jul 8,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13345235.1/PMC13345235.1.xml?md5=65b1a865df7e3a8c8fc442f813b46b0b,not_found,,,,,complete,2026-07-08,,2026-07-08,2026-07-08,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167724887,2026-07-08,2026-07-27T08:26:11.824852,match,not_found,2025-12-09,"[{""preprint_abstract_omitted"":""copyright-sensitive text omitted"",""preprint_abstract_sha256"":""def0c1a43f8053f138174139922f944b38af8bd1ef0d9a0602c7cf9be7384a5f"",""preprint_author_corresponding"":""Sara Jane J Cromer"",""preprint_author_corresponding_institution"":""Diabetes Unit, Massachusetts General Hospital"",""preprint_authors"":""Cromer, S. J. J.; Gervis, J. E.; Burnett-Bowie, S.-A. M.; Patel, C. J."",""preprint_category"":""epidemiology"",""preprint_date"":""2025-12-09"",""preprint_doi"":""10.64898/2025.12.08.25341847"",""preprint_platform"":""medRxiv"",""preprint_title"":""Heterogeneous Associations of Socioeconomic Status with Metabolic Disease in Racial and Ethnic Subgroups in the United States: A Cross-Sectional Cohort Study in NHANES and All Of Us"",""published_date"":""2026-07-08"",""published_doi"":""10.1371/journal.pone.0351075"",""published_journal"":""PLOS One""}]",source_incomplete_missing_contact_email,2025-12-09,preprint_first_date,bibliographic_index;crossref_derived_index;preprint_server;publisher_crossref,yes,unresolved_date_conflict,yes
PMC13346412,extended_discovery,,requires_full_text_screen,Association between SARS-CoV-2 and diabetes: A population-based cohort study using the UK CPRD GOLD database.,,10.1007/s40200-026-02002-6,complete,2026 Dec,2026 Jul 8,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13346412.1/PMC13346412.1.xml?md5=da665c491afa3c0ae6bb2e48d0776eee,not_found,,,,,complete,2026-07-08,,2026-07-08,2026-07-08,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167574350,2026-07-08,2026-07-26T07:53:14.480251,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-08,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13347318,extended_discovery,,requires_full_text_screen,The Prognostic Role of C-Reactive Protein-Triglyceride Glucose Index in Predicting Unfavorable Outcomes in Acute Ischemic Stroke: A Large-Scale Cohort Study.,,10.1002/brb3.71578,complete,2026 Jul,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13347318.1/PMC13347318.1.xml?md5=d92477b7dd1cb1716eba06eb2fb581bf,not_found,,,,,complete,2026-07-09,2026-07,2026-07,2026-07-09,2026-07-27,{},complete_unauthenticated_compatibility,https://openalex.org/W7167851462,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13349111,extended_discovery,,requires_full_text_screen,Rising Burden and Clinical Impact of Metabolic Syndrome in Inflammatory Bowel Disease: A Real-World Cohort Study.,,10.1002/ueg2.70255,complete,2026 Jul,,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13349111.1/PMC13349111.1.xml?md5=11ddd2d667361ceda65167a3b35ce9fd,not_found,,,,,complete,2026-07-09,2026-07,2026-07,2026-07-09,2026-07-28,{},complete_unauthenticated_compatibility,https://openalex.org/W7167850480,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13349133,extended_discovery,,requires_full_text_screen,Metabolic risk and metabolic dysfunction-associated steatotic liver disease and steatohepatitis in cognitive decline: A retrospective cohort study.,,10.1371/journal.pone.0353160,complete,2026,2026 Jul 9,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13349133.1/PMC13349133.1.xml?md5=a3779abf8162bf9efffd643d4f6ab93b,not_found,,,,,complete,2026-07-09,,2026-07-09,2026-07-09,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7167828302,2026-07-09,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-09,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13349322,extended_discovery,,requires_full_text_screen,Quantifying the Predictive Power of Social Determinants of Health in Cardiovascular Disease and Type 2 Diabetes Progression Using XGBoost: Retrospective Cohort Study.,,10.2196/80377,complete,2026 Jul 9,2026 Jul 9,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13349322.1/PMC13349322.1.xml?md5=190e96033a19b784ef65b7c468f5f321,not_found,,,,,complete,2026-07-09,,2026-07-09,2026-05-16,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7161427936,2026-05-16,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-05-16,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13351211,extended_discovery,,requires_full_text_screen,Association between dietary index for gut microbiota and all-cause and cardiovascular disease mortality in patients with gout and hyperuricemia: A prospective cohort study.,,10.1177/00368504261466110,complete,2026 Jul-Sep,2026 Jul 9,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13351211.1/PMC13351211.1.xml?md5=c1fd69919c6aabc07f58b3ca8245c85b,not_found,,,,,complete,2026-07-09,2026-07,2026-07,2026-07-09,2026-07-11,{},complete_unauthenticated_compatibility,https://openalex.org/W7167829993,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13351449,extended_discovery,,requires_full_text_screen,Association of joint exposure to PM2.5 and extreme heat with cardiovascular disease: A population-based cohort study in Northwest China.,,10.1016/j.isci.2026.116526,complete,2026 Jul 17,2026 Jul 6,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13351449.1/PMC13351449.1.xml?md5=10644524a51e54b267179f21ec3541f1,not_found,,,,,complete,,2026-07,2026-07,2026-07-06,2026-07-17,{},complete_unauthenticated_compatibility,https://openalex.org/W7167471513,2026-07-01,2026-07-28T07:46:37.118299,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13351598,extended_discovery,,requires_full_text_screen,Association between high maternal haemoglobin levels in the first trimester and gestational diabetes mellitus: a prospective birth cohort study.,,10.7189/jogh.16.04212,complete,2026 Jul 10,2026 Jul 10,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13351598.1/PMC13351598.1.xml?md5=148c4b716791015a02c1973e34ec8f35,not_found,,,,,complete,2026-07-10,,2026-07-10,2026-07-10,2026-07-10,{},complete_unauthenticated_compatibility,https://openalex.org/W7167901593,2026-07-10,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-10,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13352028,extended_discovery,,requires_full_text_screen,Cardiovascular risk associated with intellectual disability among adults with type 2 diabetes: a nationwide cohort study in South Korea.,,10.1016/j.eclinm.2026.104043,complete,2026 Jul,2026 Jul 1,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13352028.1/PMC13352028.1.xml?md5=3496754593046df1b735496aaca04a92,not_found,,,,,complete,,2026-07,2026-07,2026-07-01,2026-07-24,{},complete_unauthenticated_compatibility,https://openalex.org/W7166818898,2026-07-01,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13352046,extended_discovery,,requires_full_text_screen,"Corrigendum to ""Association of serum 25-hydroxyvitamin D with the risk of depression in individuals with prediabetes and diabetes: A prospective cohort study"" [J Nutr Health Aging, 29 (2025) 100556].",,10.1016/j.jnha.2026.100918,complete,2026 Jul 1,2026 Jul 1,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13352046.1/PMC13352046.1.xml?md5=22dae92d68d9db065238d262a49d252e,not_found,,,,,complete,,2026-08,2026-08,2026-07-01,2026-07-02,{},complete_unauthenticated_compatibility,https://openalex.org/W7166883737,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,ncbi_epubdate,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13355283,extended_discovery,,requires_full_text_screen,Subtype-specific optimal cut-off values of the Berg Balance Scale for predicting independent walking in inpatient stroke rehabilitation: a multicentre cohort study.,,10.2340/jrm.v58.45663,complete,2026 Jul 8,2026 Jul 8,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13355283.1/PMC13355283.1.xml?md5=9678810691d3fabfd8961186f332e185,not_found,,,,,complete,2026-07-08,,2026-07-08,2026-07-08,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167728107,2026-07-08,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-08,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13355561,extended_discovery,,requires_full_text_screen,The PAFIS score for risk stratification of atrial fibrillation detected after stroke: a multicenter cohort study.,,10.1016/j.ijcha.2026.101964,complete,2026 Aug,2026 Jul 3,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13355561.1/PMC13355561.1.xml?md5=330181bbfcdde82afd4350575c7432f4,not_found,,,,,complete,,2026-08,2026-08,2026-07-03,2026-07-27,{},complete_unauthenticated_compatibility,https://openalex.org/W7167204497,2026-07-03,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-03,ncbi_epubdate,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13355640,extended_discovery,,requires_full_text_screen,Association Between Low-Dose Aspirin Use and Early Renal Injury Biomarkers in Patients with Type 2 Diabetes Mellitus: A Retrospective Matched Cohort Study.,,10.2147/dmso.s624979,complete,2026,2026 Jul 6,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13355640.1/PMC13355640.1.xml?md5=0c9256085f490f5a3a0823c9bfcb57f4,not_found,,,,,complete,2026-07,,2026-07,2026-07-06,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W7167474971,2026-07-01,2026-07-13T05:41:17.278356,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13356836,extended_discovery,,requires_full_text_screen,Association of Maternal Hyperlipidemia Combined with Gestational Diabetes Mellitus with Adverse Maternal and Neonatal Outcomes: A Retrospective Cohort Study.,,10.2147/ijwh.s615707,complete,2026,2026 Jul 8,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13356836.1/PMC13356836.1.xml?md5=482f303f9ab947134cccf503c2cd08e1,not_found,,,,,complete,2026-07,,2026-07,2026-07-08,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167661465,2026-07-01,2026-07-14T05:46:48.188703,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13357043,extended_discovery,,requires_full_text_screen,Long-Term Clinical Outcomes and Cost-Effectiveness of Bariatric Surgery for Type 2 Diabetes in Malaysia: A 10-Year Retrospective Cohort Study.,,10.2147/jmdh.s590099,complete,2026,2026 Jul 8,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13357043.1/PMC13357043.1.xml?md5=09e7dd5c07f57cc6bf9e8d82f8f6d40d,not_found,,,,,complete,2026-07,,2026-07,2026-07-07,2026-07-07,{},complete_unauthenticated_compatibility,https://openalex.org/W7167586243,2026-07-01,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13357993,extended_discovery,,requires_full_text_screen,Association of Pro-Inflammatory Diets With Increased Risk of Metabolic Dysfunction-Associated Steatohepatitis: Evidence From a Prospective Cohort Study.,,10.1002/fsn3.72109,complete,2026 Jul,2026 Jul 12,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13357993.1/PMC13357993.1.xml?md5=23b8fc93bbcb0b563b016f7c09dffca7,not_found,,,,,complete,2026-07-12,2026-07,2026-07,2026-07-13,2026-07-28,{},complete_unauthenticated_compatibility,https://openalex.org/W7168142722,2026-07-01,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13360137,extended_discovery,,requires_full_text_screen,Renal Function and Serum Neurofilament Light Chain in Acute Ischemic Stroke: An Observational Cohort Study.,,10.3390/diagnostics16132113,complete,2026 Jul 6,2026 Jul 6,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13360137.1/PMC13360137.1.xml?md5=140010b567a5783e0d26d9e67e2aebd0,not_found,,,,,complete,2026-07-06,,2026-07-06,2026-07-06,2026-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W7167501193,2026-07-06,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-06,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13360508,extended_discovery,,exclude_title:prediction_or_ml,Multiple machine learning models for predicting major adverse cardiovascular events in dialysis with clinical and echocardiographic parameters: a retrospective cohort study.,,10.1080/07853890.2026.2698905,complete,2026 Dec,2026 Jul 10,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13360508.1/PMC13360508.1.xml?md5=2b8f46777748640831fe0280dfd59540,not_found,,,,,complete,2026-07-10,2026-12-31,2026-07-10,2026-07-10,2026-07-10,{},complete_unauthenticated_compatibility,https://openalex.org/W7167932964,2026-07-10,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-10,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13360819,extended_discovery,,requires_full_text_screen,Correlation of Insulin and/or Insulin Secretagogues with the Risk of Hepatocellular Carcinoma and All-Cause Mortality Among Patients with Chronic Hepatitis B and Type 2 Diabetes Mellitus: A Retrospective Cohort Study.,,10.2147/jhc.s611091,complete,2026,2026 Jul 9,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13360819.1/PMC13360819.1.xml?md5=74f754a1813e3a23091a62389f8b5541,not_found,,,,,complete,2026-07,,2026-07,2026-07-09,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7167828248,2026-07-01,2026-07-15T05:50:42.429089,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13361515,extended_discovery,,requires_full_text_screen,Metabolic Syndrome Predicts Chemotherapy Resistance and Poor Prognosis in Epithelial Ovarian Cancer: A Retrospective Observational Cohort Study.,,10.2147/ijwh.s614197,complete,2026,2026 Jul 9,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13361515.1/PMC13361515.1.xml?md5=d9d90e375e9df1b6279147c741e7a88d,not_found,,,,,complete,2026-07,,2026-07,2026-07-09,2026-07-09,{},complete_unauthenticated_compatibility,https://openalex.org/W7167801682,2026-07-01,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13361964,extended_discovery,,exclude_title:genetic_or_omics,"Frailty Index and Risk of Ischemic Stroke in China: Evidence from a Cohort Study, Disease Burden Analysis, and Mendelian Randomization.",,10.3390/healthcare14131932,complete,2026 Jul 1,2026 Jul 1,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13361964.1/PMC13361964.1.xml?md5=2104d540aa12a33abd73bbe53088ada6,not_found,,,,,complete,2026-07-01,,2026-07-01,2026-07-01,2026-07-01,{},complete_unauthenticated_compatibility,https://openalex.org/W7166877168,2026-07-01,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13362851,extended_discovery,,requires_full_text_screen,Efficacy and safety of apixaban versus warfarin in new-onset atrial fibrillation post coronary artery bypass grafting: A retrospective cohort study.,,10.1097/md.0000000000049695,complete,2026 Jul 10,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13362851.1/PMC13362851.1.xml?md5=d76bdd0f04cf7a06e262a3d88cba6ece,not_found,,,,,complete,,2026-07-10,2026-07-10,2026-07-10,2026-07-10,{},complete_unauthenticated_compatibility,https://openalex.org/W7167916893,2026-07-10,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-10,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13362897,extended_discovery,,requires_full_text_screen,"Prevalence, Predictors, and Clinical Outcomes of Cervical Arterial Dissection in Patients with Spontaneous Coronary Artery Dissection: A Multicenter Retrospective Cohort Study.",,10.3390/jcm15135302,complete,2026 Jul 7,2026 Jul 7,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13362897.1/PMC13362897.1.xml?md5=d916afee2e14b9f35ad0fdccf86ae252,not_found,,,,,complete,2026-07-07,,2026-07-07,2026-07-07,2026-07-07,{},complete_unauthenticated_compatibility,https://openalex.org/W7167595484,2026-07-07,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-07,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13362927,extended_discovery,,requires_full_text_screen,Rapid progression of cardiovascular-kidney-metabolic syndrome drives accelerated frailty trajectories: A longitudinal cohort study.,,10.1097/md.0000000000049742,complete,2026 Jul 10,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13362927.1/PMC13362927.1.xml?md5=e0661ba8199b5657bc52a65c9bc11d92,not_found,,,,,complete,,2026-07-10,2026-07-10,2026-07-10,2026-07-10,{},complete_unauthenticated_compatibility,https://openalex.org/W7167925072,2026-07-10,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-10,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13363480,extended_discovery,,requires_full_text_screen,Predictors of Non-Cardiovascular Readmissions in Multimorbid Adults with Heart Failure in Australian Hospitals: A Retrospective Cohort Study.,,10.3390/jcm15135275,complete,2026 Jul 6,2026 Jul 6,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13363480.1/PMC13363480.1.xml?md5=9763ade86aba960598f7f06d59c2af29,not_found,,,,,complete,2026-07-06,,2026-07-06,2026-07-06,2026-07-06,{},complete_unauthenticated_compatibility,https://openalex.org/W7167495528,2026-07-06,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-06,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13363621,extended_discovery,,requires_full_text_screen,Clinical Predictors and Recovery Patterns of Visual Impairment as a Post-Stroke Complication: A Retrospective Single-Center Cohort Study from a Romanian Comprehensive Stroke Unit.,,10.3390/jcm15135291,complete,2026 Jul 7,2026 Jul 7,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13363621.1/PMC13363621.1.xml?md5=462453caf9d44ef1ca42677e70880fd1,not_found,,,,,complete,2026-07-07,,2026-07-07,2026-07-07,2026-07-07,{},complete_unauthenticated_compatibility,https://openalex.org/W7167627943,2026-07-07,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-07,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13365883,extended_discovery,,requires_full_text_screen,"Prevalence, Clinical Associations, and Outcomes of Cardiorenal Anemia Syndrome Among Patients With Heart Failure Attending a Tertiary Hospital in Dodoma, Tanzania: A Prospective Observational Cohort Study.",,10.1002/hsr2.72809,complete,2026 Jul,2026 Jul 13,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13365883.1/PMC13365883.1.xml?md5=1aa6f86f5a00065caaefb99d1188635a,not_found,,,,,complete,2026-07-13,2026-07,2026-07,2026-07-14,2026-07-24,{},complete_unauthenticated_compatibility,https://openalex.org/W7168272438,2026-07-01,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13366646,extended_discovery,,requires_full_text_screen,Impact of dual antiplatelet therapy duration after percutaneous coronary intervention on outcomes in acute coronary syndrome patients with and without chronic kidney disease: a nationwide cohort study.,,10.1080/0886022x.2026.2697379,complete,2026 Dec,2026 Jul 13,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13366646.1/PMC13366646.1.xml?md5=bae6b2b6d6d020bb92df3c8c06983cd7,not_found,,,,,complete,2026-07-13,2026-12-31,2026-07-13,2026-07-14,2026-07-14,{},complete_unauthenticated_compatibility,https://openalex.org/W7168173709,2026-07-13,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-13,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13367251,extended_discovery,,requires_full_text_screen,Effectiveness and safety of sodium-glucose cotransporter-2 inhibitor initiation in sacubitril-valsartan users with heart failure: a population-based cohort study.,,10.1093/ehjcvp/pvag031,complete,2026 Jul 14,,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13367251.1/PMC13367251.1.xml?md5=f8ba32547d63eed6a568f55a138323fc,not_found,,,,,complete,2026-05-07,2026-07-14,2026-05-07,2026-05-06,2026-07-14,{},complete_unauthenticated_compatibility,https://openalex.org/W7160647075,2026-05-06,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-05-06,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13367460,extended_discovery,,requires_full_text_screen,"Clinical Characteristics, Complications, and Outcomes of Heat Stroke Among Pilgrims During the Hajj Mass Gathering: A Prospective Cohort Study.",,10.2147/oaem.s616665,complete,2026,2026 Jul 10,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC13367460.1/PMC13367460.1.xml?md5=d5734b1e544cf4b0e3e1972157ad1a20,not_found,,,,,complete,2026-07,,2026-07,2026-07-10,2026-07-10,{},complete_unauthenticated_compatibility,https://openalex.org/W7167907559,2026-07-01,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13368627,extended_discovery,,requires_full_text_screen,Risk factors of nasogastric tube removal failure in acute ischemic stroke patients: a 3-months follow-up cohort study at a single institute.,,10.3389/fneur.2026.1801145,complete,2026,2026 Jul 1,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13368627.1/PMC13368627.1.xml?md5=58e07052d50ef4e05c034bd8b2c701dd,not_found,,,,,complete,2026-07-01,,2026-07-01,2026-07-01,2026-07-01,{},complete_unauthenticated_compatibility,https://openalex.org/W7166872379,2026-07-01,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13369579,extended_discovery,,requires_full_text_screen,The Association Between PIV and Mortality in US Stroke Survivors: A NHANES 1999-2018 Retrospective Cohort Study.,,10.1002/hsr2.72801,complete,2026 Jul,2026 Jul 14,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13369579.1/PMC13369579.1.xml?md5=d26dec37b798b9004ebd83168c48f6c1,not_found,,,,,complete,2026-07-14,2026-07,2026-07,2026-07-15,2026-07-24,{},complete_unauthenticated_compatibility,https://openalex.org/W7168401561,2026-07-01,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13372655,extended_discovery,,requires_full_text_screen,Predictive value of routine ultrasound indicators in the second trimester for gestational diabetes mellitus: a retrospective cohort study.,,10.3389/fendo.2026.1873073,complete,2026,2026 Jul 2,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC13372655.1/PMC13372655.1.xml?md5=d3e88b4764e8b6c855e1a74bf37b1e0f,not_found,,,,,complete,2026-07-02,,2026-07-02,2026-07-02,2026-07-02,{},complete_unauthenticated_compatibility,https://openalex.org/W7167069723,2026-07-02,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-02,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC13372826,extended_discovery,,requires_full_text_screen,Clinical factors associated with retreatment and early coronary outcomes in Kawasaki disease in children aged < 6 months: a single-center cohort study.,,10.1007/s00431-026-07214-9,complete,2026 Jul 15,2026 Jul 15,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC13372826.1/PMC13372826.1.xml?md5=f9275eb1bfc8c62bf3d119779adf5fda,not_found,,,,,complete,2026-07-15,,2026-07-15,2026-07-15,2026-07-15,{},complete_unauthenticated_compatibility,https://openalex.org/W7168382934,2026-07-15,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2026-07-15,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
